Name,Backup
2fa,Normal Backup
AADC,Normal Backup
adm01,Normal Backup
adm02,Normal Backup
adm05,Normal Backup
Adv-app,Normal Backup
Adv-db,Normal Backup
Adv-db-bk,Normal Backup
ansible,Normal Backup
ASI-IT2,Normal Backup
atlassian-db,Normal Backup
at-sccm-dp-oad,Normal Backup
aw-amp2 (airwave),Normal Backup
bastion,Normal Backup
bloodhound,Normal Backup
boomi-prod,Normal Backup
cacti,Normal Backup
cis-db,Normal Backup
cis-web,Normal Backup
Compass01,Normal Backup
cyberkey-cel,Normal Backup
dcs01,Normal Backup
dcs02,Normal Backup
dcs03,Normal Backup
dcs04,Normal Backup
dcs05,Normal Backup
dcs06,Normal Backup
doit-adm-8-ps5,Normal Backup
dprc-amp,Normal Backup
dprc-cs-control,Normal Backup
dprc-cs-worker,Normal Backup
duo-dirsync,Normal Backup
dw-ir,Normal Backup
EMS (New),Normal Backup
epm01,Normal Backup
exn01,OS Only Backup
exn02,OS Only Backup
fabs-andrastea,Normal Backup
fabs-circinus,Normal Backup
fabs-db,Normal Backup
fabs-dbp,Normal Backup
fabs-dbw,Normal Backup
fabs-fadevj,Normal Backup
fabs-fadevp,Normal Backup
fabs-fawebj,Normal Backup
fabs-fawebp,Normal Backup
fabs-form,Normal Backup
fabs-pavo,Normal Backup
faculty-apps01,Normal Backup
faculty-mysql01,Normal Backup
faculty-mysql02,Normal Backup
fw-uid,Normal Backup
gateway-apps01,Normal Backup
gateway-apps02,Normal Backup
gateway-mysql01,Normal Backup
gateway-mysql02,Normal Backup
git-apps,Normal Backup
groupsend(GroupMail),Normal Backup
hpdm,Normal Backup
hpdm-console,Normal Backup
ibm-v7-si,Normal Backup
identityfinder,Normal Backup
idp01,Normal Backup
idp02,Normal Backup
idp03-ecp,Normal Backup
idp04-ecp,Normal Backup
inside-svcs01,Normal Backup
inside-svcs02,Normal Backup
kms,Normal Backup
ks,Normal Backup
lists,Normal Backup
lists-new,Normal Backup
logrhythm-dc,Normal Backup
logrhythm-net1,Normal Backup
logrhythm-net2,Normal Backup
logrhythm-net3,Normal Backup
logrhythm-o365,Normal Backup
nagios,Normal Backup
nec-attd(AutoAttendant),Normal Backup
nec-um,Normal Backup
New rate-calc not ready,Normal Backup
NFS-12C,Normal Backup
ob18-app01,Normal Backup
ob18-app01-test,Normal Backup
ob18-app02,Normal Backup
ob18-app02-test,Normal Backup
ob18-dip01,Normal Backup
ob18-prc01,Normal Backup
ob18-prc02,Normal Backup
ob18-web01,Normal Backup
ob18-web02,Normal Backup
ob-ep3-app1,Normal Backup
ob-ep3-app2,Normal Backup
ob-ep3-dip1,Normal Backup
ob-ep3-prc1,Normal Backup
ob-ep3-prc2,Normal Backup
ob-ep3-web1,Normal Backup
ob-ep3-web2,Normal Backup
ob-ps01,Normal Backup
oem-prod-12C,Normal Backup
oim-apps-prod-new,Normal Backup
oim-con01,Normal Backup
Omnivista 2500 NMS-E,Normal Backup
oracledb12C-dev,Monthly Backup
oracledb12c-prod1,Normal Backup
oracledb12c-prod2,Normal Backup
oracledb12C-test,Monthly Backup
PhishMe,Normal Backup
pme (PwrMonitoringExpert),Normal Backup
ppd-print,Normal Backup
ppd-skyspark,Normal Backup
ps1,Normal Backup
ps1-rdp,Normal Backup
qualys-scanner-campus,Normal Backup
qualys-scanner-datacenter,Normal Backup
R25-SIS (AcademicScheduling),Normal Backup
rconfig,Normal Backup
saem-ad-sftp,Normal Backup
sftp-relay,Normal Backup
SHS-Viewlinc,Normal Backup
starrez-relay,Normal Backup
support (Bomgar),Normal Backup
svn,Normal Backup
sympa,Normal Backup
telecom,Normal Backup
transact-app,Normal Backup
transact-db,Normal Backup
transact-wks,Normal Backup
tru-credential (IDcard),Normal Backup
uniprint-db,Normal Backup
upm-clock,Normal Backup
upm-conf-prog,Normal Backup
upm-energymgmt,Normal Backup
upm-stardbp,Normal Backup
upm-unifi-prd,Normal Backup
vc01,Normal Backup
veeam1-aws-ndmp,Normal Backup
veeam-physical,Normal Backup
vrli01,Normal Backup
vrops01,Normal Backup
vrops02,Normal Backup
webapps01,Normal Backup
webapps02,Normal Backup
webctrl01,Normal Backup
webfocus,Normal Backup
weblogic-sbx,Normal Backup
wiki,Normal Backup
wsus01,Normal Backup
wsus02,Normal Backup
wws01,Normal Backup
wws02,Normal Backup
www,Normal Backup
XDM01,Normal Backup
